Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,W ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material ratio,Conductive additive ratio,Binder ratio,Electrolyte salt,Electrolyte concentration,EC_ratio,DMC_ratio,EMC_ratio,DEC_ratio,Additive,Loading density (mass loading of NCM),Voltage_min,Voltage_max,Temperature,C-rate 0.05,C-rate 0.1,C-rate 0.2,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 5.0,C-rate 10.0,C-rate 20.0,C-rate 40.0,C-rate 4.0,C-rate 6.0
11,NR0,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,none,10.21428571,2.5,4.3,25,,155.3,,,123,,45.5,,,,,
11,NR1,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,154.6,,,,,47,,,,,
11,NR3,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,166.5,,,,,75.4,,,,,
11,NR5,1,0.33,0.33,0.33,2,0,0,LiNO3,solution combustion,sintering,850,15,none,Carbon-based,89.30952381,4.833333333,5.857142857,LiPF6,1,0.5,0.5,0,0,RGO,10.21428571,2.5,4.3,25,,175,,,,,95.4,,,,,
16,NCM,1.01,0.35,0.32,0.32,2,0,0,LiAc,sol-gel,sintering,850,10,none,none,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,2.5,4.5,30,,,,175.7,154.8,143.5,101.7,71.5,44.5,13.2,,
16,NCM/C,1.03,0.32,0.33,0.34,2,0,0,LiAc,sol-gel,sintering,850,10,none,Carbon-based,80,5,15,LiPF6,1,0.5,0.5,0,0,none,5,2.5,4.5,30,,,,191.2,178.9,163.5,135.8,109.4,81.9,54.6,,
22,Pristine,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,none,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,204.6,,,,,,,,,,
22,V-0.005,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,204.4,,,,,,,,,,
22,V-0.01,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,203.9,,,,,,,,,,
22,V-0.02,1,0.84,0.1,0.06,2,0,0,LiOH,solid-state reaction,sintering,760,15,V5+,none,96,2,2,LiPF6,1,0.33,0.33,0.33,0,none,14.5,3,4.3,25,,200.9,,,,,,,,,,
35,S1bare,1.03,0.85,0.1,0.05,2,0,0,LiOH,co-precipitation,sintering,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,3,4.3,25,,,,,,,,,,,,
35,S2wash,1.03,0.85,0.1,0.05,2,0,0,LiOH,co-precipitation,sintering,750,12,none,Boron-based,96.5,1.5,2,LiPF6,1,0.5,0.5,0,0,none,12,3,4.3,25,,,,,,,,,,,,
