Paper ID,Sample,W ratio,Crystallization final temperature,Crystallization method,Doping,Li ratio,Voltage range,Crystallization final duration (hours),Electrolyte solvent,Additive,Commercial NCM used,Electrolyte concentration,C-rate 0.5,Electrolyte solvent ratio,C-rate 0.1,Coating,Ni ratio,Loading density (mass loading of NCM),C-rate 5.0,Temperature,C-rate 0.2,C-rate None,C-rate 6.0,Electrolyte salt,O ratio,C-rate 2.0,Co ratio,Synthesis method,C-rate 0.05,Mn ratio,C-rate 4.0,C-rate 1.0,Lithium source,Active material to Conductive additive to Binder ratio
11,NR0,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False
11,NR1,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False
11,NR3,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False
11,NR5,True,False,True,True,False,False,False,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False
16,NCM,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,True
16,NCM/C,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,True,True,True,True,False,True,True,False,True,False,True,True,True,True
22,Pristine,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True
22,V-0.005,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True
22,V-0.01,True,False,True,False,False,False,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True
22,V-0.02,True,False,True,False,False,False,False,True,True,False,False,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True
35,S1bare,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True
35,S2wash,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True
35,S3coat,True,False,False,True,False,True,False,True,True,False,False,True,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,True,True,True,True,True
39,N92,True,False,True,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
39,WN92,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
40,PC-NCM,True,False,False,True,False,False,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True
40,SC-NCM83,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False
41,NCM-811,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True
41,g-C3N4@NCM-811,True,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True
41,g-C3N4NS@NCM-811,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False,False
42,N-NCM,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,True,True,True,True,True,True,True,False,False
42,SC-NCM,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,False,True,True,False,True,True,False,True
44,polymer/γ-Al2O3-coated NCM622,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True
44,pristine NCM622,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True
56,M-NCM,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True
56,pristine NCM,True,False,False,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True
