Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,W ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material to Conductive additive to Binder ratio,Electrolyte salt,Electrolyte concentration,Electrolyte solvent,Electrolyte solvent ratio,Additive,Loading density (mass loading of NCM),Voltage range,Temperature,C-rate 0.1,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 0.05,C-rate 5.0,C-rate 10.0,C-rate 20.0,C-rate 40.0,C-rate 0.33,C-rate None,C-rate 0.2,C-rate 0.3,C-rate 4.0,C-rate 6.0
11,NR0,True,True,True,True,True,,no,LiNO3,solution combustion,calcination,850.0,15.0,,RGO,87:8:5,LiPF6,1M,EC:DMC,1:1,"RGO, 5%",,2.5–4.3,25.0,155.3,,True,,False,True,,,,,,,,,
11,NR1,True,True,True,True,True,,no,LiNO3,solution combustion,calcination,850.0,15.0,,RGO,87:8:5,LiPF6,1M,EC:DMC,1:1,"RGO, 5%",,2.5–4.3,25.0,154.6,,,,False,True,,,,,,,,,
11,NR3,True,True,True,True,True,,no,LiNO3,solution combustion,calcination,850.0,15.0,,RGO,87:8:5,LiPF6,1M,EC:DMC,1:1,"RGO, 5%",,2.5–4.3,25.0,166.5,,,,False,True,,,,,,,,,
11,NR5,True,True,True,True,True,,no,LiNO3,solution combustion,calcination,850.0,15.0,,RGO,87:8:5,LiPF6,1M,EC:DMC,1:1,"RGO, 5%",,2.5–4.3,25.0,175.0,,,,False,True,,,,,,,,,
16,NCM,False,False,False,False,False,,no,LiAc,sol-gel,sintering,850.0,10.0,,C,80:15:5,LiPF6,1M,EC:DMC,1:1,,5 mg/cm^2,,,,True,True,True,,True,True,True,True,,,,,,
16,NCM/C,False,False,True,False,False,,no,LiAc,sol-gel,sintering,850.0,10.0,,C,80:15:5,LiPF6,1M,EC:DMC,1:1,,5 mg/cm^2,,,,True,True,True,,True,True,True,True,,,,,,
22,Pristine,False,True,True,True,True,,yes,LiOH,solid state,calcination,760.0,15.0,V5+,,96:2:2,LiPF6,1M,EC:DMC:EMC,1:1:1,,14.5 mg/cm^2,3.0–4.3,25.0,204.6,,,,,,,,,,,,,,
22,V-0.005,False,True,True,True,True,,no,LiOH,solid state,calcination,760.0,15.0,V5+,,96:2:2,LiPF6,1M,EC:DMC:EMC,1:1:1,,14.5 mg/cm^2,3.0–4.3,25.0,204.4,,,,,,,,,,,,,,
22,V-0.01,False,True,True,True,True,,no,LiOH,solid state,calcination,760.0,15.0,V5+,,96:2:2,LiPF6,1M,EC:DMC:EMC,1:1:1,,14.5 mg/cm^2,3.0–4.3,25.0,203.9,,,,,,,,,,,,,,
22,V-0.02,False,True,True,True,True,,no,LiOH,solid state,calcination,760.0,15.0,V5+,,96:2:2,LiPF6,1M,EC:DMC:EMC,1:1:1,,14.5 mg/cm^2,3.0–4.3,25.0,200.9,,,,,,,,,,,,,,
35,S1bare,False,True,True,True,True,,yes,LiOH,co-precipitation,,750.0,12.0,,boric acid,96.5:1.5:2,LiPF6,1M,EC:DMC,1:1,,12 mg/cm^2,3.0-4.3,25.0,,,,False,False,,,,,False,,False,,,
35,S2wash,False,True,True,True,True,,yes,LiOH,co-precipitation,,750.0,12.0,,boric acid,96.5:1.5:2,LiPF6,1M,EC:DMC,1:1,,12 mg/cm^2,3.0-4.3,25.0,,,,,False,,,,,False,,,,,
35,S3coat,False,True,True,True,True,,yes,LiOH,co-precipitation,,750.0,12.0,,boric acid,96.5:1.5:2,LiPF6,1M,EC:DMC,1:1,,12 mg/cm^2,3.0-4.3,25.0,,,,False,False,,,,,False,,False,,,
39,N92,True,True,True,True,True,,yes,LiOH,solid-phase method,calcination,780.0,10.0,W6+,,8:1:1,LiPF6,1M,EC,1:1:1,,,2.8-4.3,,211.93,True,,,,True,,,,,,,,,
39,WN92,True,False,True,True,True,0.0025,no,LiOH,solid-phase method,calcination,780.0,10.0,W6+,,8:1:1,LiPF6,1M,EC,1:1:1,,,2.8-4.3,,210.83,True,,,,True,,,,,,,,,
40,SC-NCM83,False,True,True,True,False,,no,Li2CO3,simple blending,,975.0,9.0,,,90:5:5,LiPF6,1M,EC:DEC,50:50,,5 mg/cm^2,3.0–4.3,25.0,,,True,,True,,,,,,,,,,
40,PC-NCM,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
